time,S1,S2,C,P0,P1,conversion
0,5,1,1,-1,0,2
1,4.093653765,1.453173117,1,-0.818730753,-1,2
2,3.35160023,1.824199885,1,-0.670320046,-0.818730753,2
3,2.744058181,2.12797091,1,-0.548811636,-0.670320046,2
4,2.246644821,2.37667759,1,-0.449328964,-0.548811636,2
5,1.839397206,2.580301397,1,-0.367879441,-0.449328964,2
6,1.50597106,2.74701447,1,-0.301194212,-0.367879441,2
7,1.23298482,2.88350759,1,-0.246596964,-0.301194212,2
8,1.00948259,2.995258705,1,-0.201896518,-0.246596964,2
9,0.826494441,3.086752779,1,-0.165298888,-0.201896518,2
10,0.676676416,3.161661792,1,-0.135335283,-0.165298888,2
