time,S1,S2,C,P0,P1,sconversion,mconversion
0,5,1,1,5,1,2,3
1,4.093653765,2.359519352,1,5,1,2,3
2,3.35160023,3.472599655,1,4.093653765,2.359519352,2,3
3,2.744058181,4.383912729,1,3.35160023,3.472599655,2,3
4,2.246644821,5.130032769,1,2.74405818,4.383912729,2,3
5,1.839397206,5.740904191,1,2.246644821,5.130032769,2,3
6,1.50597106,6.241043411,1,1.839397206,5.740904191,2,3
7,1.23298482,6.65052277,1,1.50597106,6.241043411,2,3
8,1.00948259,6.985776115,1,1.23298482,6.65052277,2,3
9,0.826494441,7.260258338,1,1.00948259,6.985776115,2,3
10,0.676676416,7.484985376,1,0.826494441,7.260258338,2,3
